,city,num_users,population
0,NEW YORK NY,302149,8405837
1,CHICAGO IL,164468,1955130
2,LOS ANGELES CA,144132,1595037
3,MIAMI FL,17675,1339155
4,SILICON VALLEY,27247,1177609
5,ORANGE COUNTY,12994,1030185
6,SAN DIEGO CA,69995,959307
7,PHOENIX AZ,6133,943999
8,DALLAS TX,22157,942908
9,ATLANTA GA,24701,814885
10,DENVER CO,12421,754233
11,AUSTIN TX,14978,698371
12,SEATTLE WA,25063,671238
13,TUCSON AZ,5712,631442
14,SAN FRANCISCO CA,213609,629591
15,SACRAMENTO CA,7044,545776
16,PITTSBURGH PA,3643,542085
17,WASHINGTON DC,127001,418859
18,NASHVILLE TN,9270,327225
19,BOSTON MA,80021,248968
